Took office ,Left office ,Party 
4/03/1829,4/03/1837,1
4/03/1837,4/03/1841,1
4/03/1845,4/03/1849,1
4/03/1853,4/03/1857,1
4/03/1857,4/03/1861,1
4/03/1869,4/03/1877,0
4/03/1877,4/03/1881,0
4/03/1881,19/09/1881,0
19/09/1881,4/03/1885,0
4/03/1885,4/03/1889,1
4/03/1889,4/03/1893,0
4/03/1893,4/03/1897,1
4/03/1897,14/9/1901,0
14/9/1901,4/3/1909,0
4/3/1909,4/03/1913,0
4/03/1913,4/03/1921,1
4/03/1921,2/8/1923,0
2/8/1923,4/03/1929,0
4/03/1929,4/03/1933,0
4/03/1933,12/4/1945,1
12/4/1945,20/01/1953,1
20/01/1953,20/01/1961,0
20/01/1961,22/11/1963,1
22/11/1963,20/1/1969,1
20/1/1969,9/8/1974,0
9/8/1974,20/01/1977,0
20/01/1977,20/01/1981,1
20/01/1981,20/01/1989,0
20/01/1989,20/01/1993,0
20/01/1993,20/01/2001,1
20/01/2001,20/01/2009,0
20/01/2009,Incumbent ,1
