state,party,year
Kansas,Republican,2018
Kansas,Republican,2019
Missouri,Republican,2017
Missouri,Republican,2018
New Hampshire,Republican,2017
Puerto Rico,New Progressive Party (Puerto Rico),2017
Puerto Rico,New Progressive Party (Puerto Rico),2018
Puerto Rico,New Progressive Party (Puerto Rico),2019
Mississippi,Republican,2012
Mississippi,Republican,2013
Mississippi,Republican,2014
Mississippi,Republican,2015
Mississippi,Republican,2016
Mississippi,Republican,2016
Mississippi,Republican,2017
Mississippi,Republican,2018
Mississippi,Republican,2019
Mississippi,Republican,2020
Kentucky,Republican,2015
Kentucky,Republican,2016
Kentucky,Republican,2017
Kentucky,Republican,2018
Kentucky,Republican,2019
West Virginia,Democrat,2015
West Virginia,Democrat,2016
West Virginia,Democrat,2017
Colorado,Democrat,2015
Colorado,Democrat,2016
Colorado,Democrat,2017
Colorado,Democrat,2018
Colorado,Democrat,2019
Colorado,Democrat,2011
Colorado,Democrat,2012
Colorado,Democrat,2013
Colorado,Democrat,2014
Colorado,Democrat,2015
Georgia,Republican,2015
Georgia,Republican,2016
Georgia,Republican,2017
Georgia,Republican,2018
Georgia,Republican,2019
Georgia,Republican,2011
Georgia,Republican,2012
Georgia,Republican,2013
Georgia,Republican,2014
Georgia,Republican,2015
Illinois,Republican,2015
Illinois,Republican,2016
Illinois,Republican,2017
Illinois,Republican,2018
Illinois,Republican,2019
Kansas,Republican,2015
Kansas,Republican,2016
Kansas,Republican,2017
Kansas,Republican,2018
Kansas,Republican,2011
Kansas,Republican,2012
Kansas,Republican,2013
Kansas,Republican,2014
Kansas,Republican,2015
Connecticut,Democrat,2015
Connecticut,Democrat,2016
Connecticut,Democrat,2017
Connecticut,Democrat,2018
Connecticut,Democrat,2019
Connecticut,Democrat,2011
Connecticut,Democrat,2012
Connecticut,Democrat,2013
Connecticut,Democrat,2014
Connecticut,Democrat,2015
Florida,Republican,2015
Florida,Republican,2016
Florida,Republican,2017
Florida,Republican,2018
Florida,Republican,2019
Florida,Republican,2011
Florida,Republican,2012
Florida,Republican,2013
Florida,Republican,2014
Florida,Republican,2015
Guam,Republican,2015
Guam,Republican,2016
Guam,Republican,2017
Guam,Republican,2018
Guam,Republican,2019
Guam,Republican,2011
Guam,Republican,2012
Guam,Republican,2013
Guam,Republican,2014
Guam,Republican,2015
Virgin Islands,Independent,2015
Virgin Islands,Independent,2016
Virgin Islands,Independent,2017
Virgin Islands,Independent,2018
Virgin Islands,Independent,2019
Alaska,Independent,2014
Alaska,Independent,2015
Alaska,Independent,2016
Alaska,Independent,2017
Alaska,Independent,2018
Virginia,Democrat,2014
Virginia,Democrat,2015
Virginia,Democrat,2016
Virginia,Democrat,2017
Virginia,Democrat,2018
Northern Mariana Islands,Republican,2013
Northern Mariana Islands,Republican,2014
