year,state,number
1976,alabama,69.0
1977,alabama,69.1
1978,alabama,71.1
1979,alabama,72.0
1980,alabama,71.4
1981,alabama,71.0
1982,alabama,73.1
1983,alabama,72.7
1984,alabama,71.9
1985,alabama,73.0
1986,alabama,72.9
1987,alabama,72.3
1988,alabama,72.2
1989,alabama,72.6
1990,alabama,71.2
1991,alabama,72.7
1992,alabama,72.4
1993,alabama,72.5
1994,alabama,73.7
1995,alabama,73.0
1996,alabama,73.1
1997,alabama,73.6
1998,alabama,73.9
1999,alabama,73.8
2000,alabama,73.5
2001,alabama,72.8
2002,alabama,72.3
2003,alabama,72.4
2004,alabama,71.9
2005,alabama,71.7
2006,alabama,71.3
2007,alabama,70.9
2008,alabama,70.7
2009,alabama,70.5
2010,alabama,70.0
2011,alabama,69.3
2012,alabama,68.6
2013,alabama,67.7
2014,alabama,67.4
2015,alabama,67.1
2016,alabama,66.4
2017,alabama,66.2
2018,alabama,65.4
2019,alabama,64.6
2020,alabama,64.6
1976,alaska,55.9
1977,alaska,56.7
1978,alaska,58.1
1979,alaska,58.4
1980,alaska,58.8
1981,alaska,58.3
1982,alaska,58.2
1983,alaska,59.0
1984,alaska,59.8
1985,alaska,60.2
1986,alaska,60.4
1987,alaska,60.8
1988,alaska,60.9
1989,alaska,61.1
1990,alaska,62.1
1991,alaska,61.0
1992,alaska,61.1
1993,alaska,61.7
1994,alaska,62.1
1995,alaska,63.0
1996,alaska,62.5
1997,alaska,63.6
1998,alaska,63.8
1999,alaska,63.6
2000,alaska,63.6
2001,alaska,63.1
2002,alaska,61.4
2003,alaska,61.7
2004,alaska,61.9
2005,alaska,61.2
2006,alaska,60.9
2007,alaska,61.3
2008,alaska,60.7
2009,alaska,59.7
2010,alaska,58.5
2011,alaska,59.2
2012,alaska,57.7
2013,alaska,57.6
2014,alaska,56.9
2015,alaska,56.7
2016,alaska,55.7
2017,alaska,56.4
2018,alaska,56.4
2019,alaska,57.4
2020,alaska,57.1
1976,arizona,59.5
1977,arizona,60.2
1978,arizona,59.7
1979,arizona,60.9
1980,arizona,61.3
1981,arizona,61.6
1982,arizona,62.7
1983,arizona,63.7
1984,arizona,63.2
1985,arizona,63.6
1986,arizona,63.9
1987,arizona,64.5
1988,arizona,64.2
1989,arizona,65.4
1990,arizona,63.3
1991,arizona,63.6
1992,arizona,63.7
1993,arizona,62.9
1994,arizona,64.5
1995,arizona,66.4
1996,arizona,66.4
1997,arizona,65.0
1998,arizona,64.3
1999,arizona,65.9
2000,arizona,65.5
2001,arizona,65.4
2002,arizona,66.0
2003,arizona,65.6
2004,arizona,65.2
2005,arizona,64.1
2006,arizona,63.9
2007,arizona,64.1
2008,arizona,63.2
2009,arizona,63.8
2010,arizona,62.4
2011,arizona,62.6
2012,arizona,61.3
2013,arizona,60.6
2014,arizona,60.0
2015,arizona,60.4
2016,arizona,60.4
2017,arizona,60.5
2018,arizona,60.7
2019,arizona,61.8
2020,arizona,62.1
1976,arkansas,56.3
1977,arkansas,56.5
1978,arkansas,57.1
1979,arkansas,57.5
1980,arkansas,57.9
1981,arkansas,59.0
1982,arkansas,58.7
1983,arkansas,58.9
1984,arkansas,59.3
1985,arkansas,58.5
1986,arkansas,59.0
1987,arkansas,59.5
1988,arkansas,60.5
1989,arkansas,61.3
1990,arkansas,62.7
1991,arkansas,61.7
1992,arkansas,62.4
1993,arkansas,61.5
1994,arkansas,62.4
1995,arkansas,62.9
1996,arkansas,62.6
1997,arkansas,62.0
1998,arkansas,61.6
1999,arkansas,61.7
2000,arkansas,61.7
2001,arkansas,61.0
2002,arkansas,60.8
2003,arkansas,61.1
2004,arkansas,61.2
2005,arkansas,61.8
2006,arkansas,61.9
2007,arkansas,61.6
2008,arkansas,61.2
2009,arkansas,60.8
2010,arkansas,59.7
2011,arkansas,59.5
2012,arkansas,59.1
2013,arkansas,58.0
2014,arkansas,57.0
2015,arkansas,57.4
2016,arkansas,57.3
2017,arkansas,57.2
2018,arkansas,57.0
2019,arkansas,57.4
2020,arkansas,57.2
1976,california,61.9
1977,california,62.7
1978,california,64.2
1979,california,65.3
1980,california,65.4
1981,california,65.2
1982,california,65.2
1983,california,65.7
1984,california,65.0
1985,california,65.9
1986,california,65.6
1987,california,66.4
1988,california,67.0
1989,california,67.4
1990,california,66.3
1991,california,66.2
1992,california,66.1
1993,california,65.8
1994,california,65.8
1995,california,65.4
1996,california,64.8
1997,california,65.7
1998,california,66.3
1999,california,66.4
2000,california,66.7
2001,california,67.2
2002,california,66.5
2003,california,66.0
2004,california,65.5
2005,california,65.1
2006,california,64.9
2007,california,65.4
2008,california,65.5
2009,california,65.7
2010,california,64.8
2011,california,63.5
2012,california,62.9
2013,california,62.9
2014,california,62.0
2015,california,62.2
2016,california,61.9
