state,party,year
Kansas,0.0,2018
Kansas,0.0,2019
Missouri,0.0,2017
Missouri,0.0,2018
New Hampshire,0.0,2017
Mississippi,0.0,2012
Mississippi,0.0,2013
Mississippi,0.0,2014
Mississippi,0.0,2015
Mississippi,0.0,2016
Mississippi,0.0,2016
Mississippi,0.0,2017
Mississippi,0.0,2018
Mississippi,0.0,2019
Mississippi,0.0,2020
Kentucky,0.0,2015
Kentucky,0.0,2016
Kentucky,0.0,2017
Kentucky,0.0,2018
Kentucky,0.0,2019
West Virginia,1.0,2015
West Virginia,1.0,2016
West Virginia,1.0,2017
Colorado,1.0,2015
Colorado,1.0,2016
Colorado,1.0,2017
Colorado,1.0,2018
Colorado,1.0,2019
Colorado,1.0,2011
Colorado,1.0,2012
Colorado,1.0,2013
Colorado,1.0,2014
Colorado,1.0,2015
Georgia,0.0,2015
Georgia,0.0,2016
Georgia,0.0,2017
Georgia,0.0,2018
Georgia,0.0,2019
Georgia,0.0,2011
Georgia,0.0,2012
Georgia,0.0,2013
Georgia,0.0,2014
Georgia,0.0,2015
Illinois,0.0,2015
Illinois,0.0,2016
Illinois,0.0,2017
Illinois,0.0,2018
Illinois,0.0,2019
Kansas,0.0,2015
Kansas,0.0,2016
Kansas,0.0,2017
Kansas,0.0,2018
Kansas,0.0,2011
Kansas,0.0,2012
Kansas,0.0,2013
Kansas,0.0,2014
Kansas,0.0,2015
Connecticut,1.0,2015
Connecticut,1.0,2016
Connecticut,1.0,2017
Connecticut,1.0,2018
Connecticut,1.0,2019
Connecticut,1.0,2011
Connecticut,1.0,2012
Connecticut,1.0,2013
Connecticut,1.0,2014
Connecticut,1.0,2015
Florida,0.0,2015
Florida,0.0,2016
Florida,0.0,2017
Florida,0.0,2018
Florida,0.0,2019
Florida,0.0,2011
Florida,0.0,2012
Florida,0.0,2013
Florida,0.0,2014
Florida,0.0,2015
Guam,0.0,2015
Guam,0.0,2016
Guam,0.0,2017
Guam,0.0,2018
Guam,0.0,2019
