year,state,population
1950,Alaska,135000
1951,Alaska,158000
1952,Alaska,189000
1953,Alaska,205000
1954,Alaska,215000
1955,Alaska,222000
1956,Alaska,224000
1957,Alaska,231000
1958,Alaska,224000
1959,Alaska,224000
1960,Alaska,229000
1961,Alaska,238000
1962,Alaska,246000
1963,Alaska,256000
1964,Alaska,263000
1965,Alaska,271000
1966,Alaska,271000
1967,Alaska,278000
1968,Alaska,285000
1969,Alaska,296000
1970,Alaska,302583
1971,Alaska,315510
1972,Alaska,324464
1973,Alaska,330543
1974,Alaska,341063
1975,Alaska,376170
1976,Alaska,400969
1977,Alaska,403436
1978,Alaska,404766
1979,Alaska,402753
1980,Alaska,405315
1981,Alaska,418491
1982,Alaska,449606
1983,Alaska,488417
1984,Alaska,513702
1985,Alaska,532495
1986,Alaska,544268
1987,Alaska,539309
1988,Alaska,541983
1989,Alaska,547159
1990,Alaska,553120
1991,Alaska,569273
1992,Alaska,587073
1993,Alaska,596993
1994,Alaska,600624
1995,Alaska,601345
1996,Alaska,604918
1997,Alaska,608846
1998,Alaska,615205
1999,Alaska,619500
2000,Alaska,627963
2001,Alaska,633714
2002,Alaska,642337
2003,Alaska,648414
2004,Alaska,659286
2005,Alaska,666946
2006,Alaska,675302
2007,Alaska,680300
2008,Alaska,687455
2009,Alaska,698895
2010,Alaska,713910
2011,Alaska,722128
2012,Alaska,730443
2013,Alaska,737068
2014,Alaska,736283
2015,Alaska,737498
2016,Alaska,741456
2017,Alaska,739700
2018,Alaska,735139
2019,Alaska,731545
1900,Alabama,1830000
1901,Alabama,1907000
1902,Alabama,1935000
1903,Alabama,1957000
1904,Alabama,1978000
1905,Alabama,2012000
1906,Alabama,2045000
1907,Alabama,2058000
1908,Alabama,2070000
1909,Alabama,2108000
1910,Alabama,2150000
1911,Alabama,2185000
1912,Alabama,2217000
1913,Alabama,2279000
1914,Alabama,2336000
1915,Alabama,2345000
1916,Alabama,2359000
1917,Alabama,2361000
1918,Alabama,2343000
1919,Alabama,2337000
1920,Alabama,2359000
1921,Alabama,2402000
1922,Alabama,2434000
1923,Alabama,2464000
1924,Alabama,2501000
1925,Alabama,2534000
1926,Alabama,2567000
1927,Alabama,2609000
1928,Alabama,2640000
1929,Alabama,2644000
1930,Alabama,2647000
1931,Alabama,2649000
1932,Alabama,2653000
1933,Alabama,2661000
1934,Alabama,2685000
1935,Alabama,2719000
1936,Alabama,2743000
1937,Alabama,2762000
1938,Alabama,2787000
1939,Alabama,2814000
1940,Alabama,2845000
1941,Alabama,2902000
1942,Alabama,2941000
1943,Alabama,2902000
1944,Alabama,2802000
1945,Alabama,2775000
1946,Alabama,2911000
1947,Alabama,2942000
1948,Alabama,2969000
1949,Alabama,3000000
1950,Alabama,3058000
1951,Alabama,3059000
1952,Alabama,3068000
1953,Alabama,3053000
1954,Alabama,3014000
1955,Alabama,3050000
1956,Alabama,3071000
1957,Alabama,3109000
1958,Alabama,3163000
1959,Alabama,3204000
1960,Alabama,3274000
1961,Alabama,3316000
1962,Alabama,3323000
1963,Alabama,3358000
1964,Alabama,3395000
1965,Alabama,3443000
1966,Alabama,3464000
1967,Alabama,3458000
1968,Alabama,3446000
1969,Alabama,3440000
1970,Alabama,3444354
1971,Alabama,3497076
1972,Alabama,3539400
1973,Alabama,3579780
1974,Alabama,3626499
1975,Alabama,3678814
1976,Alabama,3735139
1977,Alabama,3780403
1978,Alabama,3831836
1979,Alabama,3866248
1980,Alabama,3900368
1981,Alabama,3918531
1982,Alabama,3925266
1983,Alabama,3934102
1984,Alabama,3951820
1985,Alabama,3972523
1986,Alabama,3991569
1987,Alabama,4015264
1988,Alabama,4023844
1989,Alabama,4030222
1990,Alabama,4048508
1991,Alabama,4091025
1992,Alabama,4139269
1993,Alabama,4193114
1994,Alabama,4232965
1995,Alabama,4262731
1996,Alabama,4290403
1997,Alabama,4320281
1998,Alabama,4351037
1999,Alabama,4369862
2000,Alabama,4452173
2001,Alabama,4467634
2002,Alabama,4480089
2003,Alabama,4503491
2004,Alabama,4530729
2005,Alabama,4569805
2006,Alabama,4628981
2007,Alabama,4672840
2008,Alabama,4718206
2009,Alabama,4757938
2010,Alabama,4785437
2011,Alabama,4799069
2012,Alabama,4815588
2013,Alabama,4830081
2014,Alabama,4841799
2015,Alabama,4852347
2016,Alabama,4863525
2017,Alabama,4874486
2018,Alabama,4887681
2019,Alabama,4903185
1900,Arkansas,1314000
1901,Arkansas,1341000
1902,Arkansas,1360000
1903,Arkansas,1384000
1904,Arkansas,1419000
1905,Arkansas,1447000
1906,Arkansas,1465000
1907,Arkansas,1484000
1908,Arkansas,1513000
1909,Arkansas,1545000
1910,Arkansas,1583000
1911,Arkansas,1610000
1912,Arkansas,1636000
1913,Arkansas,1664000
1914,Arkansas,1688000
1915,Arkansas,1702000
1916,Arkansas,1719000
1917,Arkansas,1737000
1918,Arkansas,1749000
1919,Arkansas,1742000
1920,Arkansas,1756000
1921,Arkansas,1769000
1922,Arkansas,1772000
1923,Arkansas,1784000
1924,Arkansas,1800000
1925,Arkansas,1812000
1926,Arkansas,1826000
1927,Arkansas,1840000
1928,Arkansas,1847000
1929,Arkansas,1852000
1930,Arkansas,1859000
1931,Arkansas,1848000
1932,Arkansas,1836000
1933,Arkansas,1854000
1934,Arkansas,1878000
1935,Arkansas,1890000
1936,Arkansas,1892000
1937,Arkansas,1903000
1938,Arkansas,1928000
1939,Arkansas,1948000
1940,Arkansas,1955000
1941,Arkansas,1969000
1942,Arkansas,1977000
1943,Arkansas,1843000
1944,Arkansas,1768000
1945,Arkansas,1762000
1946,Arkansas,1797000
1947,Arkansas,1836000
1948,Arkansas,1825000
1949,Arkansas,1844000
1950,Arkansas,1908000
1951,Arkansas,1901000
1952,Arkansas,1838000
1953,Arkansas,1780000
1954,Arkansas,1734000
1955,Arkansas,1725000
1956,Arkansas,1704000
1957,Arkansas,1733000
1958,Arkansas,1726000
1959,Arkansas,1756000
1960,Arkansas,1789000
1961,Arkansas,1806000
1962,Arkansas,1853000
1963,Arkansas,1875000
1964,Arkansas,1897000
1965,Arkansas,1894000
1966,Arkansas,1899000
1967,Arkansas,1901000
1968,Arkansas,1902000
1969,Arkansas,1913000
1970,Arkansas,1923322
1971,Arkansas,1972312
1972,Arkansas,2018638
1973,Arkansas,2059256
1974,Arkansas,2101403
1975,Arkansas,2159526
1976,Arkansas,2170161
1977,Arkansas,2209010
1978,Arkansas,2243127
1979,Arkansas,2271333
1980,Arkansas,2288738
1981,Arkansas,2293201
1982,Arkansas,2294257
1983,Arkansas,2305761
1984,Arkansas,2319768
1985,Arkansas,2327046
1986,Arkansas,2331984
1987,Arkansas,2342355
1988,Arkansas,2342656
1989,Arkansas,2346358
1990,Arkansas,2354343
1991,Arkansas,2370666
1992,Arkansas,2394098
1993,Arkansas,2423743
1994,Arkansas,2450605
1995,Arkansas,2480121
1996,Arkansas,2504858
1997,Arkansas,2524007
1998,Arkansas,2538202
1999,Arkansas,2551373
2000,Arkansas,2678588
2001,Arkansas,2691571
2002,Arkansas,2705927
2003,Arkansas,2724816
2004,Arkansas,2749686
2005,Arkansas,2781097
2006,Arkansas,2821761
2007,Arkansas,2848650
2008,Arkansas,2874554
2009,Arkansas,2896843
2010,Arkansas,2921964
2011,Arkansas,2940667
2012,Arkansas,2952164
2013,Arkansas,2959400
2014,Arkansas,2967392
2015,Arkansas,2978048
2016,Arkansas,2989918
2017,Arkansas,3001345
2018,Arkansas,3009733
2019,Arkansas,3017804
1900,Arizona,124000
1901,Arizona,131000
1902,Arizona,138000
1903,Arizona,144000
1904,Arizona,151000
1905,Arizona,158000
1906,Arizona,167000
1907,Arizona,176000
1908,Arizona,186000
1909,Arizona,196000
1910,Arizona,206000
1911,Arizona,212000
1912,Arizona,217000
1913,Arizona,236000
1914,Arizona,253000
1915,Arizona,263000
1916,Arizona,282000
1917,Arizona,311000
1918,Arizona,320000
1919,Arizona,329000
1920,Arizona,340000
1921,Arizona,351000
1922,Arizona,360000
1923,Arizona,371000
1924,Arizona,382000
1925,Arizona,393000
1926,Arizona,403000
1927,Arizona,414000
1928,Arizona,422000
1929,Arizona,430000
1930,Arizona,434000
1931,Arizona,429000
1932,Arizona,426000
1933,Arizona,426000
1934,Arizona,428000
1935,Arizona,434000
1936,Arizona,443000
1937,Arizona,453000
1938,Arizona,466000
1939,Arizona,484000
1940,Arizona,499000
1941,Arizona,490000
1942,Arizona,524000
1943,Arizona,692000
1944,Arizona,610000
1945,Arizona,594000
1946,Arizona,616000
1947,Arizona,653000
1948,Arizona,690000
1949,Arizona,714000
1950,Arizona,756000
1951,Arizona,785000
1952,Arizona,842000
1953,Arizona,894000
1954,Arizona,933000
1955,Arizona,987000
1956,Arizona,1053000
1957,Arizona,1125000
1958,Arizona,1193000
1959,Arizona,1261000
1960,Arizona,1321000
1961,Arizona,1407000
1962,Arizona,1471000
1963,Arizona,1521000
1964,Arizona,1556000
1965,Arizona,1584000
1966,Arizona,1614000
1967,Arizona,1646000
1968,Arizona,1682000
1969,Arizona,1737000
1970,Arizona,1775399
1971,Arizona,1895814
1972,Arizona,2008291
1973,Arizona,2124438
1974,Arizona,2223196
1975,Arizona,2284847
1976,Arizona,2346157
1977,Arizona,2425197
1978,Arizona,2515316
